month,honduras,argentina,bolivia,brasil,brazil,chile,colombia,costa rica,cuba,ecuador,el salvador,guadeloupe,guatemala,haiti,martinique,mexico,méxico,nicaragua,panama,panamá,paraguay,peru,perú,puerto rico,uruguay,venezuela
2008-02-01,0,1,0,2,18,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0
2008-03-01,0,4,0,4,28,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
2008-04-01,0,17,1,27,71,3,6,0,0,3,0,0,0,0,0,15,4,1,0,0,0,1,0,0,2,0
2008-05-01,0,7,1,13,36,2,5,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,2,0,0,2
2008-06-01,0,8,0,18,38,6,1,0,0,0,0,0,0,0,0,4,3,0,2,0,0,0,0,0,2,2
2008-07-01,0,8,0,17,35,6,2,0,0,0,0,0,0,0,0,7,3,0,0,0,1,0,0,0,2,1
2008-08-01,0,5,2,14,30,3,3,0,0,0,0,0,0,0,0,2,4,1,0,0,1,1,0,0,2,0
2008-09-01,1,6,4,32,33,4,2,0,0,0,0,0,0,0,0,8,4,0,0,0,2,0,0,0,4,1
2008-10-01,0,11,4,28,65,3,3,0,1,1,0,0,0,0,0,6,3,0,1,0,1,0,1,0,0,0
2008-11-01,0,5,1,21,42,4,3,0,0,1,0,1,2,0,0,4,1,0,0,0,2,0,0,0,1,3
2008-12-01,1,17,2,17,56,5,9,0,0,1,0,0,0,0,0,8,4,1,0,0,0,1,1,0,5,3
2009-01-01,0,15,0,28,43,4,6,0,0,1,0,0,0,0,0,13,6,1,0,0,1,0,2,0,2,3
2009-02-01,0,25,0,33,65,8,6,0,0,1,0,0,0,0,0,10,6,1,2,0,1,3,1,0,3,3
2009-03-01,0,20,0,24,63,5,8,0,1,1,0,0,0,0,0,14,2,0,0,0,2,3,2,0,3,3
2009-04-01,0,27,1,32,55,6,3,0,0,3,0,0,1,0,1,15,5,0,0,0,2,0,3,0,6,3
2009-05-01,3,26,3,34,70,6,10,0,0,2,0,0,0,0,0,13,7,0,0,0,0,0,2,0,5,3
2009-06-01,1,19,0,28,52,11,5,0,1,2,0,0,1,0,0,15,3,1,4,0,2,4,1,0,5,3
2009-07-01,0,29,1,38,68,5,8,0,0,1,0,0,0,0,0,12,2,3,1,0,1,4,4,0,2,8
2009-08-01,2,20,1,32,86,8,6,0,1,1,0,0,0,0,0,13,4,1,2,1,1,1,2,0,4,0
2009-09-01,0,31,2,37,78,8,4,0,0,0,0,1,5,0,0,17,7,1,0,0,0,3,3,0,4,2
2009-10-01,1,26,0,43,90,11,7,0,0,2,0,0,1,0,0,14,10,1,1,0,0,2,2,0,11,6
2009-11-01,0,27,1,35,67,9,6,0,2,1,0,0,0,0,0,22,9,1,0,1,1,4,1,0,4,1
